compound_name,cell_line,exp_date,plate_cv,z_prime_factor,rse,rel_ec50
SN38,UP,20221104,12.07556260763032,NA,NA,NA
5-FU,UK,20221118,15.341093421596858,NA,NA,NA
SN38,UK,20221118,15.341093421596858,NA,NA,NA
5-FU,UP,20221118,12.298331089333752,NA,NA,NA
SN38,UP,20221118,12.298331089333752,NA,NA,NA
5-FU,UK,20221209,17.70772583944936,NA,NA,NA
SN38,UK,20221209,17.70772583944936,NA,NA,NA
5-FU,UP,20221209,14.561345736769827,NA,NA,NA
SN38,UP,20221209,14.561345736769827,NA,NA,NA
5-FU,UK,20221216,18.939439612679454,NA,NA,NA
SN38,UK,20221216,18.939439612679454,NA,NA,NA
5-FU,UP,20221216,8.593311265281633,NA,NA,NA
SN38,UP,20221216,8.593311265281633,NA,NA,NA
5-FU,US,20230113,14.126814050159513,NA,NA,NA
SN38,US,20230113,14.126814050159513,NA,NA,NA
5-FU,US,20230127,25.826463827057932,NA,NA,NA
SN38,US,20230127,25.826463827057932,NA,NA,NA
5-FU,US,20230203,12.366485512569998,NA,NA,NA
SN38,US,20230203,12.366485512569998,NA,NA,NA
5FU (Media changed on Day -2),US,20230210,16.051246033289445,NA,NA,NA
SN38 (Media changed on Day -2),US,20230210,16.051246033289445,NA,NA,NA
SN38,US,20230210,16.051246033289445,NA,NA,NA
5-FU,US,20230210,16.051246033289445,NA,NA,NA
5-FU,UP,20230421,8.049395351146424,NA,NA,NA
SN38,UP,20230421,8.049395351146424,NA,NA,NA
5-FU,US,20230428,10.718153024196901,NA,NA,NA
SN38,US,20230428,10.718153024196901,NA,NA,NA
